Hargow,"The har gow dumpling originated in a teahouse in the Wucu village, a suburban region of Guangzhou. It appeared on the outskirts at a teahouse in the Wucu village; the owner was said to have had access to a river right outside, where shrimp would be caught and directly made into the fresh stuffing for har gow dumplings. "
Siumai1,"At the end of the Ming Dynasty and the beginning of the Qing Dynasty, near the Dazhao Temple, there were two brothers who made their living by selling buns. Later, the elder brother got married, and his wife wanted to split the household. The bun shop was given to the brother and his wife, while the younger brother worked in the shop making and selling buns. Despite his kindness, the younger brother had no income other than his food. To increase his earnings for future marriage, he started making some buns with thin skins and open tops while steaming them, selling them separately. The money from selling buns went to his brother, while the earnings from these new items were saved. Many people liked this bun-like item, which was named 'shaomai.' Over time, the name evolved, and as it spread southward, it became known as 'siu mai."
Siumai2,"At the end of the Ming Dynasty and the beginning of the Qing Dynasty, near the Dazhao Temple, there were two brothers who made their living by selling buns. Later, the elder brother got married, and his wife wanted to split the household. The bun shop was given to the brother and his wife, while the younger brother worked in the shop making and selling buns. Despite his kindness, the younger brother had no income other than his food. To increase his earnings for future marriage, he started making some buns with thin skins and open tops while steaming them, selling them separately. The money from selling buns went to his brother, while the earnings from these new items were saved. Many people liked this bun-like item, which was named 'shaomai.' Over time, the name evolved, and as it spread southward, it became known as 'siu mai."
Siumai3,"At the end of the Ming Dynasty and the beginning of the Qing Dynasty, near the Dazhao Temple, there were two brothers who made their living by selling buns. Later, the elder brother got married, and his wife wanted to split the household. The bun shop was given to the brother and his wife, while the younger brother worked in the shop making and selling buns. Despite his kindness, the younger brother had no income other than his food. To increase his earnings for future marriage, he started making some buns with thin skins and open tops while steaming them, selling them separately. The money from selling buns went to his brother, while the earnings from these new items were saved. Many people liked this bun-like item, which was named 'shaomai.' Over time, the name evolved, and as it spread southward, it became known as 'siu mai."
Xiaolongbao,"""Xiaolongbao"" originated in Changzhou, Jiangsu Province by Wan Hua Tea House in the years of Daoguang Emperor (1820 to 1850). "
Lo Mai Gai1,"Lo mai gai is a classic Cantonese dish which translates to ""sticky rice chicken"". Legend has it that it was first created in the humble night markets of Guangzhou. Originally, street vendors used to steam this with a bowl, and then introduced lotus leaves as a more convenient to-go option. "
Lo Mai Gai2,"Lo mai gai is a classic Cantonese dish which translates to ""sticky rice chicken"". Legend has it that it was first created in the humble night markets of Guangzhou. Originally, street vendors used to steam this with a bowl, and then introduced lotus leaves as a more convenient to-go option. "
Changfen1,"Cheung Fun first appeared in the Tang Dynasty in Guangdong, evolving from a local traditional delicacy known as ""Youwei Ci"". Locals called it ""Longkan Ci"", which was an accidental invention by a Buddhist at the Longkan Taoist site. Initially, he made a rice cake about half a centimeter thick by steaming rice milk mixed with oil, salt, crushed peanuts, green onions, and chives, making it convenient for consumption at any time. Due to its short preparation time, simple ingredients, refreshing taste, and delicate, smooth texture, Longkan Ci became popular."
Changfen2,"Cheung Fun first appeared in the Tang Dynasty in Guangdong, evolving from a local traditional delicacy known as ""Youwei Ci"". Locals called it ""Longkan Ci"", which was an accidental invention by a Buddhist at the Longkan Taoist site. Initially, he made a rice cake about half a centimeter thick by steaming rice milk mixed with oil, salt, crushed peanuts, green onions, and chives, making it convenient for consumption at any time. Due to its short preparation time, simple ingredients, refreshing taste, and delicate, smooth texture, Longkan Ci became popular."
Tofu skin roll1,"Tofu skin roll has its origin in the vegetarian and Buddhist culinary traditions. Tofu skin, or yuba, is a thin film that forms on the surface of soy milk during the production of tofu. This layer is carefully lifted and dried, resulting in a sheet-like product with a slightly chewy texture. "
Tofu skin roll2,"Tofu skin roll has its origin in the vegetarian and Buddhist culinary traditions. Tofu skin, or yuba, is a thin film that forms on the surface of soy milk during the production of tofu. This layer is carefully lifted and dried, resulting in a sheet-like product with a slightly chewy texture. "
Radish cake,"Turnip Cake, or Law Bok Gow, is a traditional Cantonese dim sum dish. It's often enjoyed during Chinese New Year for its symbolic association with good luck and prosperity in Hokkien language"
Egg tart,"The British first brought custard tarts to southern China in the 1920s, where local chefs adapted the recipe before it was brought to Hong Kong after World War II."
Sesame ball,"The origins of jian dui can be traced back to the Tang dynasty as a royal food in Chang'an, known as lüdui. This food item was also recalled in a poem by the Tang poet Wang Fanzhi. With the southward migration of many peoples from central China since the An–Shi Rebellion, the jian dui was brought along and hence became part of southern Chinese cuisine. "
