A3 D8 56 17,Bambooshoot
E4 60 0B 1E,Shrimp
93 28 93 24,Steamed
33 16 0B 08,Egg wrapper
C3 F3 FB 07,Rice noodles
53 96 FC 07,Bean curd
43 69 EB 07,Wheat wrapper
13 D6 03 08,Tapioca wrapper
83 E9 02 08,Lotus seed
83 FA DD 07,Scallions
83 55 FF 07,Beans
D3 95 0B 08,Mushroom
93 22 FE 07,Ginger
53 B5 07 08,Sesame seeds
43 73 0C 08,Shredded Radish
63 6E 0C 08,Pork
C3 D8 ED 07,Beef
63 80 DD 07,Chicken
03 89 EB 07,Egg
C3 82 FB 07,Glutinous rice
C3 ED EC 07,Soy sauce
B3 6F ED 07,Sesame paste
F3 40 EC 07,Dough fritter
53 3C F4 07,Fried
43 78 E3 07,Baked
